"skills","type","avg_salary"
"mysql","databases","210750"
"debian","os","196500"
"c++","programming","182519"
"postgresql","databases","177500"
"neo4j","databases","170500"
"fastapi","webframeworks","166000"
"mongodb","programming","165371"
"mongodb","databases","165371"
"numpy","libraries","159717"
"firebase","cloud","158500"
"firebase","databases","158500"
"matplotlib","libraries","158289"
"bigquery","cloud","157611"
"confluence","async","156500"
"ruby","programming","156500"
"ruby","webframeworks","156500"
"bitbucket","other","156500"
"atlassian","other","156500"
"redis","databases","155500"
"java","programming","155039"
"smartsheet","async","155000"
"redshift","cloud","153890"
"keras","libraries","153877"
"scala","programming","152263"
"pandas","libraries","151652"
