"skills","number_of_jobs","skills (1)","type","avg_salary"
"mysql","372","mysql","databases","210750"
"debian","6","debian","os","196500"
"c++","353","c++","programming","182519"
"postgresql","452","postgresql","databases","177500"
"neo4j","66","neo4j","databases","170500"
"fastapi","70","fastapi","webframeworks","166000"
"mongodb","766","mongodb","databases","165371"
"mongodb","766","mongodb","programming","165371"
"numpy","388","numpy","libraries","159717"
"firebase","44","firebase","cloud","158500"
"firebase","44","firebase","databases","158500"
"matplotlib","140","matplotlib","libraries","158289"
"bigquery","647","bigquery","cloud","157611"
"confluence","186","confluence","async","156500"
"ruby","108","ruby","programming","156500"
"ruby","108","ruby","webframeworks","156500"
"bitbucket","69","bitbucket","other","156500"
"atlassian","30","atlassian","other","156500"
"redis","123","redis","databases","155500"
"java","1506","java","programming","155039"
"smartsheet","10","smartsheet","async","155000"
"redshift","493","redshift","cloud","153890"
"keras","173","keras","libraries","153877"
"scala","1231","scala","programming","152263"
"pandas","660","pandas","libraries","151652"
"airflow","891","airflow","libraries","151485"
"tensorflow","556","tensorflow","libraries","151278"
"spark","2304","spark","libraries","149086"
"kafka","1096","kafka","libraries","147959"
"jira","406","jira","async","147573"
"cassandra","226","cassandra","databases","147500"
"windows","268","windows","os","147500"
"gdpr","205","gdpr","libraries","147500"
"graphql","61","graphql","libraries","147500"
"kubernetes","936","kubernetes","other","146667"
"shell","225","shell","programming","145371"
"snowflake","1024","snowflake","cloud","144355"
"pytorch","453","pytorch","libraries","143256"
"looker","523","looker","analyst_tools","143238"
"nosql","873","nosql","programming","141037"
"pyspark","674","pyspark","libraries","140194"
"terraform","586","terraform","other","140141"
"ssrs","194","ssrs","analyst_tools","138982"
"aws","2859","aws","cloud","137886"
"scikit-learn","371","scikit-learn","libraries","137229"
"hadoop","1104","hadoop","libraries","137170"
"git","1219","git","other","136240"
"opencv","32","opencv","libraries","135000"
"ibm cloud","19","ibm cloud","cloud","134241"
"azure","3378","azure","cloud","132900"
"flask","111","flask","webframeworks","131722"
"gitlab","280","gitlab","other","131300"
"go","786","go","programming","130476"
"oracle","639","oracle","cloud","129612"
"sap","726","sap","analyst_tools","129037"
"python","8538","python","programming","126099"
"github","412","github","other","124647"
"flow","463","flow","other","124248"
"c","315","c","programming","123600"
"dynamodb","109","dynamodb","databases","123000"
"databricks","1276","databricks","cloud","122982"
"gcp","1372","gcp","cloud","122026"
"jenkins","434","jenkins","other","120781"
"sql","8135","sql","programming","120413"
"docker","1061","docker","other","119451"
"jupyter","209","jupyter","libraries","118613"
"cognos","84","cognos","analyst_tools","117794"
"elasticsearch","235","elasticsearch","databases","116353"
"r","2398","r","programming","115630"
"tableau","2172","tableau","analyst_tools","115214"
"qlik","392","qlik","analyst_tools","115026"
"sql server","703","sql server","databases","111462"
"javascript","390","javascript","programming","110029"
"unify","21","unify","sync","108567"
"sas","1612","sas","programming","107837"
"sas","1612","sas","analyst_tools","107837"
"typescript","125","typescript","programming","107050"
"power bi","2586","power bi","analyst_tools","105855"
"spreadsheet","50","spreadsheet","analyst_tools","101750"
"spring","109","spring","libraries","100474"
"linux","587","linux","os","100205"
"ansible","257","ansible","other","97444"
"react","179","react","libraries","89100"
"express","126","express","webframeworks","87338"
"html","112","html","programming","85906"
"excel","2510","excel","analyst_tools","82839"
"slack","64","slack","sync","80850"
"swift","52","swift","programming","80850"
"vba","393","vba","programming","77375"
"notion","92","notion","async","75550"
"css","93","css","programming","74369"
"ssis","369","ssis","analyst_tools","73500"
"sheets","102","sheets","analyst_tools","72900"
"bash","197","bash","programming","70000"
"outlook","92","outlook","analyst_tools","69879"
"powerpoint","399","powerpoint","analyst_tools","57450"
"alteryx","201","alteryx","analyst_tools","57000"
"word","498","word","analyst_tools","56229"
"terminal","40","terminal","other","53014"
